symbol,name,sector,is_st,close,ma5,ma10,ma20,ma60,ma5_slope_pct,ma20_slope_pct,ma60_slope_pct,avg_amount_20d_billion,above_mid_platform,platform_breakout,trend_pullback,strong_consolidation_restart,downtrend_rebound,recent5_low_rising,recent5_gain_pct,volume_breakout,volume_pullback_shrink,has_volume_bullish_day,upper_shadow_ratio,sector_strength_vs_index_3d_pct,sector_amount_expanding,sector_rank_percentile,sector_leaders_count,sector_frontline,market_index_above_ma5_ma10,market_amount_expanding,market_limit_up_premium_good,market_limit_down_risk_low
300308,中际旭创,ChiNext,false,1312.18,1329.70,1256.16,1221.20,968.55,0.97,6.01,6.67,36.24,true,false,false,false,false,true,5.14,false,false,false,0.0238,-1.68,false,100.00,76,true,false,true,false,false
300502,新易盛,ChiNext,false,555.30,565.33,549.97,537.61,438.33,0.22,5.93,4.66,22.25,true,false,false,false,false,true,1.15,true,false,true,0.0345,-1.68,false,100.00,76,true,false,true,false,false
603986,兆易创新,SH Main Board,false,705.09,650.16,574.74,531.92,392.78,5.60,8.87,8.45,27.46,true,true,false,false,false,true,32.35,true,false,true,0.0000,-1.23,false,50.00,89,true,false,true,false,false
000725,京东方Ａ,SZ Main Board,false,7.07,6.79,6.31,6.05,4.79,3.11,8.14,5.21,21.33,true,false,false,true,false,true,16.98,true,false,true,0.0113,-1.53,false,75.00,70,true,false,true,false,false
688008,澜起科技,STAR Market,false,266.49,267.39,250.58,248.41,206.77,1.70,-0.22,5.31,1656.42,true,false,false,false,false,true,9.14,true,false,true,0.0000,-0.83,false,25.00,50,true,false,true,false,false
300394,天孚通信,ChiNext,false,325.28,325.68,312.62,317.53,270.23,0.04,4.85,3.41,15.28,true,false,false,false,false,false,0.18,false,false,false,0.0022,-1.68,false,100.00,76,true,false,true,false,false
688256,寒武纪,STAR Market,false,1453.00,1430.09,1348.29,1330.95,1107.51,2.08,1.50,5.95,1807.74,true,false,false,true,false,true,11.17,true,false,true,0.0109,-0.83,false,25.00,50,true,false,true,false,false
688525,佰维存储,STAR Market,false,417.00,393.80,361.77,337.60,295.12,4.04,6.49,4.60,1395.45,true,false,false,false,false,true,22.47,true,false,true,0.0043,-0.83,false,25.00,50,true,false,true,false,false
688041,海光信息,STAR Market,false,337.10,323.43,306.47,296.04,283.00,2.73,0.19,3.29,1181.59,true,false,false,true,false,true,14.60,true,false,true,0.0145,-0.83,false,25.00,50,true,false,true,false,false
002384,东山精密,SZ Main Board,false,257.13,262.52,244.18,231.03,191.12,0.62,4.87,7.14,19.68,true,false,false,false,false,true,3.24,true,false,true,0.0149,-1.53,false,75.00,70,true,false,true,false,false
600522,中天科技,SH Main Board,false,61.91,58.95,54.83,49.67,39.93,2.70,8.79,7.36,16.98,true,false,false,true,false,true,14.33,true,false,true,0.0336,-1.23,false,50.00,89,true,false,true,false,false
600487,亨通光电,SH Main Board,false,119.02,115.69,109.15,97.62,75.34,2.03,12.50,8.61,19.96,true,false,false,true,false,true,10.72,true,false,true,0.0129,-1.23,false,50.00,89,true,false,true,false,false
300059,东方财富,ChiNext,false,20.18,19.94,19.08,18.92,19.52,1.07,0.16,-0.05,8.20,true,false,false,false,false,true,5.54,true,false,true,0.0168,-1.68,false,100.00,76,true,false,true,false,false
002475,立讯精密,SZ Main Board,false,75.05,70.01,67.93,69.77,65.97,2.28,-0.53,2.86,14.26,true,false,false,true,false,true,11.58,true,false,true,0.0167,-1.53,false,75.00,70,false,false,true,false,false
001309,德明利,SZ Main Board,false,810.00,744.74,689.89,660.44,575.33,4.32,2.67,6.16,9.14,true,true,false,false,false,true,23.54,true,false,true,0.0085,-1.53,false,75.00,70,true,false,true,false,false
688981,中芯国际,STAR Market,false,155.99,147.10,138.31,135.63,120.81,2.98,0.95,3.41,1351.34,true,false,false,true,false,true,15.81,true,true,true,0.0171,-0.83,false,25.00,50,true,false,true,false,false
300476,胜宏科技,ChiNext,false,343.43,355.55,346.07,349.58,329.19,-0.67,-0.57,2.27,16.12,false,false,false,false,false,false,-3.39,false,false,false,0.0053,-1.68,false,100.00,76,true,false,true,false,false
301308,江波龙,ChiNext,false,619.98,596.32,558.78,544.04,464.20,2.75,2.08,5.02,10.29,true,false,false,true,false,true,14.76,true,false,true,0.0000,-1.68,false,100.00,76,true,false,true,false,false
300475,香农芯创,ChiNext,false,289.60,272.21,231.76,204.35,178.79,6.68,11.14,6.00,8.21,true,false,false,false,false,true,41.68,true,false,true,0.0176,-1.68,false,100.00,76,true,false,true,false,false
300136,信维通信,ChiNext,false,103.12,102.19,100.13,100.79,90.69,0.58,-2.84,3.87,10.37,true,false,false,false,false,false,2.96,true,false,true,0.0171,-1.68,false,100.00,76,true,false,true,false,false
002156,通富微电,SZ Main Board,false,74.64,69.96,65.30,65.99,56.37,3.46,1.35,4.08,10.91,true,false,false,true,false,true,18.61,true,true,true,0.0025,-1.53,false,75.00,70,true,false,true,false,false
002463,沪电股份,SZ Main Board,false,143.35,144.31,137.87,135.38,110.22,0.38,5.63,4.89,12.93,true,false,false,false,false,true,1.93,false,false,false,0.0114,-1.53,false,75.00,70,true,false,true,false,false
600703,三安光电,SH Main Board,false,21.81,19.13,17.25,16.76,15.02,5.48,4.68,2.25,5.77,true,false,false,false,false,true,29.51,true,false,true,0.0000,-1.23,false,50.00,89,false,false,true,false,false
600176,中国巨石,SH Main Board,false,64.82,58.05,50.77,44.90,36.61,5.52,12.74,8.51,8.34,true,true,false,false,false,true,30.58,true,false,true,0.0000,-1.23,false,50.00,89,true,false,true,false,false
300285,国瓷材料,ChiNext,false,91.72,89.89,76.00,66.80,46.77,5.71,19.39,11.48,9.21,true,false,false,false,false,true,36.02,true,false,true,0.0316,-1.68,false,100.00,76,true,false,true,false,false
002281,光迅科技,SZ Main Board,false,266.36,263.51,238.60,225.81,171.52,2.84,5.05,9.64,12.70,true,false,false,false,false,true,15.80,false,true,false,0.0228,-1.53,false,75.00,70,false,false,true,false,false
601138,工业富联,SH Main Board,false,76.78,76.10,73.76,74.43,65.89,1.03,2.72,3.48,19.34,true,false,true,true,false,true,5.32,true,true,true,0.0027,-1.23,false,50.00,89,false,false,true,false,false
300408,三环集团,ChiNext,false,145.26,152.04,145.08,138.37,96.36,-0.65,8.57,9.28,10.56,true,false,false,false,false,false,-3.30,true,false,true,0.0342,-1.68,false,100.00,76,true,false,true,false,false
300223,北京君正,ChiNext,false,197.80,188.46,170.87,160.87,136.42,3.95,8.05,4.66,7.65,true,false,false,false,false,true,22.08,true,false,true,0.0061,-1.68,false,100.00,76,true,false,true,false,false
