symbol,name,sector,is_st,close,ma5,ma10,ma20,ma60,ma5_slope_pct,ma20_slope_pct,ma60_slope_pct,avg_amount_20d_billion,above_mid_platform,platform_breakout,trend_pullback,strong_consolidation_restart,downtrend_rebound,recent5_low_rising,recent5_gain_pct,volume_breakout,volume_pullback_shrink,has_volume_bullish_day,upper_shadow_ratio,sector_strength_vs_index_3d_pct,sector_amount_expanding,sector_rank_percentile,sector_leaders_count,sector_frontline,market_index_above_ma5_ma10,market_amount_expanding,market_limit_up_premium_good,market_limit_down_risk_low
300308,中际旭创,创业板,false,1253.89,1316.36,1286.79,1234.59,991.33,-1.70,4.39,6.33,37.83,true,false,false,false,false,false,-8.33,false,false,false,0.0007,-0.41,true,100.00,62,false,false,true,true,false
603986,兆易创新,沪市主板,false,770.00,716.20,632.83,559.32,409.88,4.10,10.63,10.01,28.11,true,false,false,false,false,true,22.42,true,false,true,0.0117,0.22,true,25.00,59,false,false,true,true,false
000725,京东方Ａ,深市主板,false,7.79,7.22,6.67,6.25,4.91,3.56,7.54,5.97,22.14,true,true,false,false,false,true,18.93,true,true,true,0.0578,0.16,true,50.00,59,true,false,true,true,false
300502,新易盛,创业板,false,566.00,572.75,559.91,546.03,447.20,-0.54,4.33,4.76,24.38,true,false,false,false,false,false,-2.66,true,false,true,0.0000,-0.41,true,100.00,62,false,false,true,true,false
600584,长电科技,沪市主板,false,100.89,95.42,86.15,81.05,61.56,3.91,4.21,8.18,18.05,true,false,false,false,false,true,21.66,true,false,true,0.0239,0.22,true,25.00,59,false,false,true,true,false
600522,中天科技,沪市主板,false,61.29,62.53,57.82,52.16,41.19,1.54,11.30,7.85,18.35,true,false,false,false,false,true,8.38,true,false,true,0.0134,0.22,true,25.00,59,false,false,true,true,false
002475,立讯精密,深市主板,false,68.00,71.05,69.17,69.67,66.66,-0.54,-0.62,2.85,15.18,false,false,false,false,false,true,-2.76,true,false,true,0.0074,0.16,true,50.00,59,false,false,true,true,false
600487,亨通光电,沪市主板,false,110.54,117.78,111.33,102.08,77.35,-0.03,13.02,8.40,20.97,true,false,false,false,false,false,-0.18,false,false,false,0.0045,0.22,true,25.00,59,false,false,true,true,false
688525,佰维存储,科创板,false,501.05,438.83,395.82,354.66,303.53,5.52,9.47,5.86,1484.46,true,true,false,false,false,true,29.74,true,false,true,0.0318,-0.13,true,75.00,39,true,false,true,true,false
688008,澜起科技,科创板,false,261.82,269.10,258.71,249.14,211.26,-0.60,-0.18,5.47,1699.54,true,false,false,false,false,false,-2.99,true,false,true,0.0170,-0.13,true,75.00,39,false,false,true,true,false
001309,德明利,深市主板,false,951.00,828.82,748.06,686.42,593.36,6.12,6.14,7.03,10.20,true,true,false,false,false,true,33.57,true,false,true,0.0305,0.16,true,50.00,59,true,false,true,true,false
002008,大族激光,深市主板,false,151.27,146.67,138.40,132.51,114.23,2.28,1.61,6.59,9.19,true,false,false,true,false,true,12.13,true,false,true,0.0000,0.16,true,50.00,59,false,false,true,true,false
601138,工业富联,沪市主板,false,70.22,75.39,74.41,74.54,66.69,-2.04,1.67,3.38,18.65,false,false,false,false,false,false,-10.07,true,false,true,0.0000,0.22,true,25.00,59,false,false,true,true,false
688256,寒武纪,科创板,false,1458.00,1457.20,1399.54,1342.53,1134.01,-0.67,1.71,6.04,1838.02,true,false,false,false,false,false,-3.28,true,false,true,0.0254,-0.13,true,75.00,39,false,false,true,true,false
002384,东山精密,深市主板,false,260.32,263.76,255.47,235.71,196.61,-0.95,4.63,7.19,19.85,true,false,false,false,false,false,-4.64,false,false,false,0.0149,0.16,true,50.00,59,false,false,true,true,false
300476,胜宏科技,创业板,false,319.55,343.35,347.46,345.34,331.57,-2.80,-2.67,2.06,15.92,false,false,false,false,false,false,-13.40,false,false,false,0.0031,-0.41,true,100.00,62,false,false,true,true,false
