symbol,name,sector,is_st,close,ma5,ma10,ma20,ma60,ma5_slope_pct,ma20_slope_pct,ma60_slope_pct,avg_amount_20d_billion,above_mid_platform,platform_breakout,trend_pullback,strong_consolidation_restart,downtrend_rebound,recent5_low_rising,recent5_gain_pct,volume_breakout,volume_pullback_shrink,has_volume_bullish_day,upper_shadow_ratio,sector_strength_vs_index_3d_pct,sector_amount_expanding,sector_rank_percentile,sector_leaders_count,sector_frontline,market_index_above_ma5_ma10,market_amount_expanding,market_limit_up_premium_good,market_limit_down_risk_low
603986,兆易创新,沪市主板,false,764.99,793.04,721.60,609.83,437.77,1.53,14.65,11.45,30.02,true,false,false,false,false,true,8.50,true,false,true,0.0528,-0.01,true,75.00,219,false,true,true,true,true
000725,京东方Ａ,深市主板,false,8.54,8.10,7.45,6.72,5.14,3.77,11.10,7.32,24.91,true,false,false,false,false,true,20.79,true,false,true,0.0316,0.09,false,50.00,239,false,true,true,true,true
300308,中际旭创,创业板,false,1230.50,1259.56,1294.63,1246.47,1024.05,-1.28,2.07,5.73,38.05,false,false,false,false,false,false,-6.22,false,false,false,0.0423,0.17,true,25.00,239,false,true,true,true,true
688008,澜起科技,科创板,false,306.00,290.59,278.99,258.62,220.00,2.80,4.11,6.40,1847.17,true,false,false,false,false,true,14.83,true,false,true,0.0676,-0.62,false,100.00,107,false,true,true,true,true
600584,长电科技,沪市主板,false,103.30,103.03,95.18,84.92,64.77,1.70,7.04,8.93,18.60,true,false,false,false,false,true,9.08,true,false,true,0.0543,-0.01,true,75.00,219,false,true,true,true,true
300502,新易盛,创业板,false,580.70,584.23,574.78,557.18,460.10,0.88,3.64,4.97,26.04,true,false,false,false,false,true,4.57,true,false,true,0.0187,0.17,true,25.00,239,false,true,true,true,true
300274,阳光电源,创业板,false,140.90,151.85,152.57,152.73,147.77,-1.80,-4.37,-0.10,11.33,false,false,false,false,true,false,-8.98,false,false,false,0.0001,0.17,true,25.00,239,false,true,true,true,true
300059,东方财富,创业板,false,21.66,20.66,20.30,19.30,19.66,1.45,1.98,0.71,10.09,true,false,false,false,false,false,7.33,true,false,true,0.0139,0.17,true,25.00,239,true,true,true,true,true
000021,深科技,深市主板,false,60.50,58.07,51.99,45.13,36.52,3.65,11.27,7.69,8.39,true,false,false,false,false,true,20.35,true,false,true,0.0441,0.09,false,50.00,239,false,true,true,true,true
688525,佰维存储,科创板,false,469.55,490.53,442.16,381.46,317.07,2.19,12.99,7.44,1557.83,true,false,false,false,false,true,12.60,true,false,true,0.0352,-0.62,false,100.00,107,false,true,true,true,true
600522,中天科技,沪市主板,false,55.43,60.87,59.91,54.69,42.64,-2.08,10.10,6.77,18.61,true,false,false,false,false,false,-10.47,true,false,true,0.0005,-0.01,true,75.00,219,false,true,true,true,true
688256,寒武纪,科创板,false,1489.14,1505.94,1468.01,1378.46,1176.12,0.48,3.57,6.20,1892.75,true,false,false,false,false,true,2.49,true,true,true,0.0195,-0.62,false,100.00,107,false,true,true,true,true
688981,中芯国际,科创板,false,154.68,154.02,148.43,138.41,124.65,0.41,2.42,4.03,1312.24,true,false,false,false,false,true,2.08,true,false,true,0.0433,-0.62,false,100.00,107,false,true,true,true,true
600487,亨通光电,沪市主板,false,102.00,110.53,112.98,106.30,80.05,-2.94,9.20,6.63,20.20,false,false,false,false,false,false,-14.10,false,true,false,0.0190,-0.01,true,75.00,219,false,true,true,true,true
000988,华工科技,深市主板,false,174.10,174.05,172.45,163.63,142.49,0.72,3.21,4.16,12.56,true,false,false,true,false,true,3.70,true,true,true,0.0210,0.09,false,50.00,239,false,true,true,true,true
000100,TCL科技,深市主板,false,6.02,5.57,5.27,4.96,4.48,4.38,6.37,2.59,7.90,true,true,false,false,false,true,24.12,true,false,true,0.0399,0.09,false,50.00,239,false,true,true,true,true
300394,天孚通信,创业板,false,283.11,308.18,316.93,315.51,276.97,-2.66,-0.64,2.50,15.43,false,false,false,false,false,false,-12.96,true,true,true,0.0106,0.17,true,25.00,239,false,true,true,true,true
002384,东山精密,深市主板,false,246.13,258.84,260.68,242.83,203.96,-0.84,5.11,6.71,18.98,true,false,false,false,false,false,-4.28,false,true,false,0.0062,0.09,false,50.00,239,false,true,true,true,true
688012,中微公司,科创板,false,462.66,440.00,403.84,348.77,284.93,3.76,11.82,7.29,1025.46,true,false,false,false,false,true,20.80,true,false,true,0.0807,-0.62,false,100.00,107,false,true,true,true,true
301308,江波龙,创业板,false,674.00,691.56,643.94,583.31,495.94,1.59,7.22,6.84,11.59,true,false,false,false,false,true,8.71,true,false,true,0.0612,0.17,true,25.00,239,false,true,true,true,true
300223,北京君正,创业板,false,257.40,243.78,216.12,183.54,147.68,5.14,14.09,8.26,8.93,true,true,false,false,false,true,30.13,true,false,true,0.0856,0.17,true,25.00,239,false,true,true,true,true
603019,中科曙光,沪市主板,false,102.21,100.70,94.37,88.59,90.25,2.71,3.67,1.94,6.01,true,false,false,false,false,true,14.93,true,false,true,0.0197,-0.01,true,75.00,219,false,true,true,true,true
300476,胜宏科技,创业板,false,329.52,332.21,343.88,341.90,335.43,-0.83,-2.20,1.90,15.47,false,false,false,false,false,false,-4.05,true,true,true,0.0334,0.17,true,25.00,239,false,true,true,true,true
