symbol,name,sector,is_st,close,ma5,ma10,ma20,ma60,ma5_slope_pct,ma20_slope_pct,ma60_slope_pct,avg_amount_20d_billion,above_mid_platform,platform_breakout,trend_pullback,strong_consolidation_restart,downtrend_rebound,recent5_low_rising,recent5_gain_pct,volume_breakout,volume_pullback_shrink,has_volume_bullish_day,upper_shadow_ratio,sector_strength_vs_index_3d_pct,sector_amount_expanding,sector_rank_percentile,sector_leaders_count,sector_frontline,market_index_above_ma5_ma10,market_amount_expanding,market_limit_up_premium_good,market_limit_down_risk_low
000725,京东方Ａ,深市主板,false,7.95,7.42,6.91,6.39,4.98,2.83,8.33,6.24,22.87,true,false,false,true,false,true,14.72,true,true,true,0.0314,-0.45,true,75.00,146,true,false,true,true,true
603986,兆易创新,沪市主板,false,840.00,746.26,668.68,577.97,419.63,4.20,11.86,10.57,29.08,true,true,false,false,false,true,21.79,true,false,true,0.0079,-1.01,true,100.00,107,false,false,true,true,true
300308,中际旭创,创业板,false,1220.00,1283.90,1293.89,1237.53,1001.87,-2.47,3.14,5.98,38.31,false,false,false,false,false,false,-11.74,false,false,false,0.0207,0.86,true,50.00,193,true,false,true,true,true
300502,新易盛,创业板,false,556.96,568.15,564.96,548.68,451.04,-0.80,3.39,4.63,24.98,true,false,false,false,false,false,-3.97,true,false,true,0.0342,0.86,true,50.00,193,true,false,true,true,true
688008,澜起科技,科创板,false,296.06,272.31,265.82,251.29,213.99,1.19,0.51,5.57,1765.12,true,true,false,true,false,true,5.72,true,false,true,0.0020,2.20,true,25.00,164,false,false,true,true,true
688256,寒武纪,科创板,false,1482.00,1462.20,1423.74,1351.13,1147.43,0.34,1.70,5.97,1855.04,true,false,false,false,false,true,1.72,true,false,true,0.0404,2.20,true,25.00,164,true,false,true,true,true
300476,胜宏科技,创业板,false,315.37,333.34,346.28,342.68,332.57,-2.91,-3.29,1.82,15.48,false,false,false,false,false,false,-13.69,false,true,false,0.0376,0.86,true,50.00,193,true,false,true,true,true
600584,长电科技,沪市主板,false,103.25,97.82,89.60,82.12,62.62,2.52,4.34,8.39,18.46,true,false,false,true,false,true,13.18,true,false,true,0.0247,-1.01,true,100.00,107,false,false,true,true,true
000988,华工科技,深市主板,false,177.03,168.62,169.08,160.29,139.97,0.28,0.77,3.64,12.10,true,false,false,false,false,false,1.35,true,true,true,0.0000,-0.45,true,75.00,146,true,false,true,true,true
002475,立讯精密,深市主板,false,65.30,70.43,69.32,69.27,66.94,-0.87,-0.91,2.69,14.94,false,false,false,false,false,false,-4.53,true,false,true,0.0083,-0.45,true,75.00,146,true,false,true,true,true
002008,大族激光,深市主板,false,141.20,148.52,140.61,132.98,115.53,1.26,2.54,6.60,9.68,true,false,false,false,false,true,7.03,true,false,true,0.0525,-0.45,true,75.00,146,true,false,true,true,true
688981,中芯国际,科创板,false,151.00,149.97,143.15,135.98,122.60,0.73,0.18,3.67,1284.40,true,false,false,true,false,true,3.72,true,false,true,0.0132,2.20,true,25.00,164,false,false,true,true,true
000021,深科技,深市主板,false,58.86,52.31,47.54,42.55,35.31,4.88,6.55,6.11,7.38,true,true,false,false,false,true,26.09,true,false,true,0.0000,-0.45,true,75.00,146,true,false,true,true,true
688012,中微公司,科创板,false,456.69,404.71,374.63,330.00,276.34,4.33,7.85,6.36,965.02,true,true,false,false,false,true,22.52,true,false,true,0.0051,2.20,true,25.00,164,false,false,true,true,true
002384,东山精密,深市主板,false,249.59,259.57,258.67,237.54,199.02,-1.59,4.28,6.89,19.99,true,false,false,false,false,false,-7.75,false,true,false,0.0185,-0.45,true,75.00,146,true,false,true,true,true
600522,中天科技,沪市主板,false,58.84,62.37,58.85,53.00,41.69,-0.25,11.20,7.54,18.48,true,false,false,false,false,false,-1.32,true,false,true,0.0384,-1.01,true,100.00,107,true,false,true,true,true
600176,中国巨石,沪市主板,false,70.98,67.93,60.15,49.44,38.98,3.85,15.71,10.22,9.84,true,false,false,false,false,true,21.58,true,false,true,0.0000,-1.01,true,100.00,107,true,false,true,true,true
688041,海光信息,科创板,false,354.84,342.82,327.05,302.81,289.76,1.64,2.00,3.75,1247.85,true,false,false,true,false,true,8.46,true,false,true,0.0253,2.20,true,25.00,164,false,false,true,true,true
300223,北京君正,创业板,false,242.05,220.88,198.12,172.55,142.78,4.67,10.71,6.83,8.22,true,true,false,false,false,true,25.58,true,false,true,0.0315,0.86,true,50.00,193,false,false,true,true,true
603019,中科曙光,沪市主板,false,97.48,94.01,90.42,86.69,89.40,1.83,0.62,1.23,4.99,true,false,false,false,false,true,9.50,true,false,true,0.0236,-1.01,true,100.00,107,true,false,true,true,true
002463,沪电股份,深市主板,false,141.06,145.04,143.93,137.87,113.66,-0.58,2.83,4.99,13.04,true,false,true,false,false,false,-2.89,true,true,true,0.0173,-0.45,true,75.00,146,true,false,true,true,true
600487,亨通光电,沪市主板,false,108.04,115.42,112.47,103.64,78.26,-2.01,11.83,7.69,20.53,true,false,false,false,false,false,-9.86,false,false,false,0.0296,-1.01,true,100.00,107,false,false,true,true,true
688525,佰维存储,科创板,false,507.00,458.96,413.76,363.65,308.12,4.59,10.64,6.34,1517.55,true,false,false,false,false,true,24.78,true,false,true,0.0099,2.20,true,25.00,164,false,false,true,true,true
002281,光迅科技,深市主板,false,235.94,254.20,251.08,231.62,179.52,-3.06,4.96,8.54,12.82,true,false,false,false,false,false,-14.54,false,false,false,0.0364,-0.45,true,75.00,146,true,false,true,true,true
002407,多氟多,深市主板,false,45.66,43.40,41.64,38.16,34.82,1.40,5.19,4.00,6.41,true,false,false,true,false,true,7.03,true,false,true,0.0000,-0.45,true,75.00,146,true,false,true,true,true
300394,天孚通信,创业板,false,295.15,318.29,321.33,317.81,274.75,-1.91,1.10,2.92,15.62,false,false,false,false,false,false,-9.50,true,false,true,0.0169,0.86,true,50.00,193,true,false,true,true,true
600460,士兰微,沪市主板,false,52.59,49.98,45.10,39.33,32.61,3.22,10.26,6.46,5.55,true,false,false,true,false,true,17.39,true,false,true,0.0481,-1.01,true,100.00,107,true,false,true,true,true
001309,德明利,深市主板,false,970.00,875.40,783.32,702.92,602.86,5.62,8.16,7.40,10.63,true,false,false,false,false,true,31.60,true,false,true,0.0082,-0.45,true,75.00,146,false,false,true,true,true
600183,生益科技,沪市主板,false,171.16,176.41,177.64,160.09,107.94,-1.49,7.86,10.33,13.89,true,false,false,false,false,false,-7.23,false,false,false,0.0244,-1.01,true,100.00,107,false,false,true,true,true
601138,工业富联,沪市主板,false,69.61,73.54,74.36,74.35,67.03,-2.46,0.60,3.08,18.01,false,false,false,false,false,false,-11.75,false,true,false,0.0266,-1.01,true,100.00,107,true,false,true,true,true
600667,XD太极实,沪市主板,false,28.93,24.96,22.23,18.90,13.53,5.43,18.16,10.20,6.46,true,true,false,false,false,true,28.57,true,false,true,0.0173,-1.01,true,100.00,107,false,false,true,true,true
002371,北方华创,深市主板,false,860.19,797.82,751.38,683.92,585.45,2.97,5.21,5.13,8.10,true,true,false,true,false,true,15.46,true,false,true,0.0182,-0.45,true,75.00,146,false,false,true,true,true
300285,国瓷材料,创业板,false,105.55,97.85,88.69,74.52,50.36,1.38,18.84,12.46,10.65,true,true,false,true,false,true,6.72,true,false,true,0.0273,0.86,true,50.00,193,false,false,true,true,true
688498,源杰科技,科创板,false,1724.83,1806.61,1726.57,1540.63,1169.55,-1.62,12.85,8.06,885.06,true,false,false,false,false,false,-7.94,false,false,false,0.0080,2.20,true,25.00,164,true,false,true,true,true
002156,通富微电,深市主板,false,72.58,73.01,69.63,66.75,57.95,0.37,1.01,4.58,10.72,true,false,false,false,false,false,1.87,true,false,true,0.0325,-0.45,true,75.00,146,true,false,true,true,true
301308,江波龙,创业板,false,723.10,659.20,613.11,565.64,482.88,3.35,5.07,6.14,11.29,true,true,false,true,false,true,17.36,true,false,true,0.0006,0.86,true,50.00,193,false,false,true,true,true
300408,三环集团,创业板,false,166.69,156.22,155.10,143.70,101.82,1.37,6.09,9.10,11.08,true,true,false,false,false,true,6.78,true,false,true,0.0621,0.86,true,50.00,193,false,false,true,true,true
300346,南大光电,创业板,false,90.00,78.25,71.72,64.20,56.16,5.16,8.92,5.10,5.99,true,true,false,false,false,true,27.12,true,false,true,0.0411,0.86,true,50.00,193,false,false,true,true,true
002185,华天科技,深市主板,false,21.92,21.48,20.14,18.95,15.61,1.40,2.96,5.15,8.85,true,false,false,true,false,true,7.24,true,false,true,0.0351,-0.45,true,75.00,146,true,false,true,true,true
300136,信维通信,创业板,false,116.75,110.05,106.05,102.15,93.37,3.27,-0.15,4.42,10.98,true,false,false,false,false,true,17.55,true,false,true,0.0689,0.86,true,50.00,193,false,false,true,true,true
300666,江丰电子,创业板,false,382.48,332.83,317.89,271.22,205.60,4.64,14.39,8.55,7.01,true,true,false,false,false,true,23.88,true,false,true,0.0170,0.86,true,50.00,193,false,false,true,true,true
688048,长光华芯,科创板,false,418.33,413.64,397.89,377.23,353.71,0.29,2.50,4.77,537.40,true,false,false,false,false,true,1.45,true,true,true,0.0402,2.20,true,25.00,164,true,false,true,true,true
301526,国际复材,创业板,false,47.82,46.24,42.67,33.26,22.13,2.76,21.37,15.25,6.53,true,false,false,true,false,true,14.95,true,false,true,0.0000,0.86,true,50.00,193,false,false,true,true,true
002409,雅克科技,深市主板,false,207.46,181.49,164.73,140.79,110.27,4.89,12.65,8.12,5.01,true,true,false,false,false,true,25.60,true,false,true,0.0000,-0.45,true,75.00,146,true,false,true,true,true
600378,昊华科技,沪市主板,false,68.53,66.54,64.62,57.04,41.95,-0.51,14.06,7.68,5.04,true,false,false,false,false,false,-2.41,true,false,true,0.0000,-1.01,true,100.00,107,true,false,true,true,true
